segment,gait,direction,surface,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,hiphike_swing,hiphike_stance,horse_name,measurement,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","hard",1.3063,64.3965,0.88,0.845,0.83,0.81,0.425,0.445,0.465,0.485,202.2409,184.6763,125.8723,138.3925,67.1756,64.1366,63.8462,62.4277,,,,,,,,,-0.335,-25.6459,0.32,24.6154,0.315,24.2775,70.9696,78.2227,55.9142,58.6057,8.3945,9.3456,13.9678,16.8403,28.8775,31.2289,29.241,29.615,-42.0921,-46.9938,-26.6731,-28.9907,6.2915,8.7718,9.6227,9.5076,-2.103,-0.5738,-4.3451,-7.3326,,,23.8949,-15.5463,0.4742,-0.3996,-2.7189,-0.1981,7.7864,-10.6988,0.2856,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.3269,64.7309,0.895,0.85,0.86,0.83,0.435,0.5,0.475,0.49,185.8775,185.0524,126.9604,128.1021,67.6749,64.2722,65.1515,61.825,,,,,,,-0.335,-25.2473,-0.32,-24.1168,0.33,25,0.36,26.8156,72.784,71.9263,54.6257,56.8775,11.515,25.0536,8.7544,18.5523,29.9193,30.6394,26.7491,28.9351,-42.8648,-41.2869,-27.8766,-27.9425,9.5559,17.6483,6.4702,9.6794,-1.9591,-7.4053,-2.2842,-8.8729,,,-3.4814,-8.4535,0.0773,-6.4348,-2.4512,0.4845,21.8121,-6.481,0.411,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.3131,64.8009,0.905,0.845,0.88,0.775,0.42,0.445,0.445,0.535,195.4051,185.9125,131.586,116.9391,68.431,64.6272,66.4151,59.7303,,,,,,,-0.295,-22.4655,-0.37,-28.1771,0.34,25.6604,0.29,22.3507,71.7736,75.2872,56.5485,58.0257,13.494,17.4681,7.3864,18.16,28.8745,31.1333,28.6566,30.3072,-42.8991,-44.1539,-27.8919,-27.7185,9.9189,14.977,5.8759,8.4997,-3.5751,-2.4911,-1.5104,-9.6603,,,7.7054,-14.0793,0.2803,-1.6766,-9.0502,0.3044,21.7491,2.5393,0.3164,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2837,64.8456,0.87,0.83,0.85,0.78,0.415,0.48,0.445,0.51,192.7804,180.6015,132.1842,123.7594,67.8363,64.7173,65.8915,60.9375,,,,,,,-0.325,-25.3165,-0.335,-26.0954,0.335,25.969,0.33,25.7812,71.7694,75.1047,57.7851,57.8049,11.5747,12.4747,10.7371,22.1408,28.1208,33.7601,28.7692,28.9583,-43.6486,-41.3446,-29.0158,-28.8465,6.8298,11.4171,6.5663,10.9148,-4.7449,-1.0576,-4.1708,-11.2261,,,0.0629,-21.67,0.221,-2.6296,-7.9889,0.3076,13.2043,-1.3508,0.2471,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2662,64.8551,0.855,0.83,0.835,0.765,0.41,0.425,0.435,0.49,201.6703,195.0985,136.62,127.5013,67.4556,65.7426,65.748,60.4743,,,,,,,-0.285,-22.5074,-0.325,-25.6663,0.33,25.9843,0.315,24.9012,72.6185,77.5005,56.5668,57.6408,9.4518,17.57,10.1593,13.9571,30.5093,33.5022,26.9582,27.8284,-42.1093,-43.9983,-29.6087,-29.8124,9.7982,14.0363,7.5935,7.4478,0.3464,-3.5337,-2.5659,-6.5092,,,-8.2625,-32.5039,0.2778,-3.8293,-4.6883,0.2905,18.6587,-4.3858,0.3296,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2813,64.2081,0.85,0.83,0.83,0.78,0.415,0.44,0.435,0.51,200.8797,195.2253,135.2321,119.9244,66.7976,63.9692,65.4832,60.5825,,,,,,,-0.3,-23.4146,-0.33,-25.7561,0.33,26.0355,0.31,24.0777,72.0215,74.238,57.2306,59.8013,16.8307,20.0587,6.8053,18.8698,30.6565,31.4311,28.121,31.1384,-41.3649,-42.8069,-29.1096,-28.6629,11.3136,17.2838,6.026,9.2525,-5.5171,-2.7749,-0.7793,-9.6173,,,20.8538,-33.4464,0.574,7.8691,-0.566,-0.3555,10.4297,1.2447,0.1497,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.305,63.3299,0.855,0.815,0.845,0.79,0.43,0.495,0.44,0.505,191.4068,174.5825,131.5996,129.3078,66.0232,62.0952,65.1252,60.076,,,,,,,-0.3,-22.9885,-0.335,-25.6705,0.34,26.2042,0.35,26.616,71.2012,76.1464,57.0472,58.487,16.0877,18.8724,13.1314,17.9878,30.6138,33.8718,26.901,29.6912,-40.5874,-42.2746,-30.1462,-28.7957,12.7162,15.5901,8.2506,9.5994,-3.3715,-3.2822,-4.8809,-8.3884,,,-0.468,-15.3135,0.1578,0.4093,1.1208,0.1327,3.023,-3.1791,0.109,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.3156,63.9112,0.905,0.82,0.87,0.77,0.45,0.5,0.465,0.545,182.0799,180.7209,129.6397,116.4307,67.4115,63.3205,65.9091,59.0038,,,,,,,-0.285,-21.6627,-0.365,-27.7435,0.335,25.3788,0.33,25.2874,72.4084,74.1702,55.8267,57.6476,14.8699,15.8072,13.649,16.4357,31.9643,33.5856,27.2159,29.1651,-40.4442,-40.5845,-28.6108,-28.4825,10.5043,12.1833,7.8439,8.343,-4.3656,-3.6239,-5.805,-8.0927,,,6.5605,-32.0739,0.3844,5.1971,-4.1069,-0.0917,16.8861,-6.5636,0.3357,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.3319,65.3175,0.89,0.925,0.85,0.815,0.425,0.45,0.435,0.525,186.1677,180.0636,137.6908,117.3892,67.4242,67.7656,65.2591,60.8209,,,,,,,-0.275,-20.6476,-0.33,-24.7771,0.36,27.6392,0.305,22.7612,73.1157,77.0671,52.6274,55.9699,13.3918,15.7205,10.569,14.9925,33.6353,34.2688,23.9835,29.1479,-39.4805,-42.7984,-28.6439,-26.8221,11.4194,12.7218,7.4704,6.4394,-1.9724,-2.9987,-3.0987,-8.553,,,9.9506,-28.7746,0.3408,-5.0271,-0.9066,0.2217,5.0446,1.9828,0.05,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.3356,64.9624,0.905,0.87,0.88,0.815,0.435,0.43,0.47,0.525,190.562,193.1191,120.6526,112.9826,68.0451,65.6604,65.5493,60.5948,,,,,,,-0.325,-24.3332,-0.345,-25.8306,0.365,27.1881,0.32,23.7918,70.3366,75.0001,53.4054,56.5449,13,16.0736,8.7024,17.5031,32.1957,33.761,24.4798,29.4455,-38.141,-41.239,-28.9256,-27.0995,9.4158,13.8054,6.9099,9.2066,-3.5842,-2.2682,-1.7924,-8.2965,,,18.2217,-11.4122,0.3014,2.9095,-1.2414,-0.0949,0.2114,-6.5848,0.1213,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
