segment,gait,direction,surface,ts_hoof_on_LF,ts_hoof_on_RF,ts_hoof_on_LH,ts_hoof_on_RH,ts_raw_hoof_on_LF,ts_raw_hoof_on_RF,ts_raw_hoof_on_LH,ts_raw_hoof_on_RH,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,min_diff_stn,max_diff_stn,si_up_stn,hiphike_swing,hiphike_stance,romz_head,romz_wth,romz_sac,romz_stn,romz_ltc,romz_rtc,horse_name,horse_ueln,horse_chip,horse_age,horse_color,horse_sex,horse_breed,horse_discipline,horse_sire,measurement,date,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","soft",88.365,89.115,87.99,88.805,4604.48,4605.23,4604.105,4604.92,1.5031,68.5096,1.105,1.055,1.015,0.945,0.43,0.405,0.475,0.565,151.1223,150.8691,107.0622,102.4637,72.8171,70.8054,66.8863,63.5294,,,,,,,,,-0.44,-29.2723,0.375,24.7117,0.31,20.8403,62.276,66.1682,48.076,52.7854,19.0514,17.4347,14.522,20.4394,28.5694,28.2942,22.7283,32.4563,-33.7066,-37.8739,-25.3477,-20.3291,16.4105,14.3479,13.0659,9.2236,-2.6409,-3.0868,-1.4561,-11.2158,,,14.9036,-11.2096,0.6848,0.1596,-1.8831,0.1253,1.3776,-15.3322,0.3478,,,,,,64.3769,16.9328,48.6322,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",89.865,90.635,89.535,90.27,4605.98,4606.75,4605.65,4606.385,1.515,68.1902,1.095,1.105,0.915,1.02,0.395,0.465,0.53,0.52,158.1133,139.8525,100.3812,114.0202,72.6368,71.7532,62.5641,65.8065,,,,,,,-0.42,-27.7228,-0.405,-26.7327,0.33,22.5641,0.365,23.5484,61.9749,64.8574,51.5967,51.6655,19.3752,21.2587,14.2344,16.8202,28.3691,26.3569,28.4152,30.6693,-33.6058,-38.5005,-23.1815,-20.9963,19.9333,19.4309,10.9601,6.3656,0.5581,-1.8279,-3.2743,-10.4546,,,-1.9535,22.5213,-0.3768,-6.136,-1.982,0.4817,-2.0331,-18.9172,0.3683,,,,,,64.9536,16.7246,48.0971,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",91.39,92.145,91.015,91.83,4607.505,4608.26,4607.13,4607.945,1.5162,68.6021,1.095,1.07,1.055,0.94,0.43,0.405,0.565,0.54,143.5579,161.04,91.3385,103.9262,71.3355,72.7891,66.9841,63.2997,,,,,,,-0.38,-25.0618,-0.44,-29.019,0.375,23.8095,0.315,21.2121,61.8243,68.5806,45.3147,55.4182,24.7289,15.2312,15.1878,17.5073,29.4369,30.7481,19.6029,33.0034,-32.3874,-37.8325,-25.7119,-22.4148,19.7001,10.0601,12.3631,9.7232,-5.0289,-5.1711,-2.8247,-7.7841,,,14.3314,-5.8069,0.4993,3.9975,6.4381,-0.6743,9.6911,-16.6257,0.5528,,,,,,52.8277,17.643,58.8211,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",92.935,93.61,92.545,93.32,4609.05,4609.725,4608.66,4609.435,1.37,66.515,0.925,0.96,0.925,0.835,0.45,0.395,0.475,0.55,127.2916,165.0649,102.8955,110.7092,67.6417,70.8487,65.6028,61.9666,,,,,,,-0.4,-29.1971,-0.385,-28.1022,0.39,27.6596,0.29,21.5213,66.8647,65.8474,49.804,56.8282,17.4064,10.6065,16.0081,19.3255,30.6654,27.4623,23.043,32.871,-36.1994,-38.3851,-26.761,-23.9572,9.4492,9.5133,14.88,10.386,-7.9572,-1.0932,-1.1281,-8.9395,,,22.7963,-13.4438,0.537,2.9208,8.1729,-0.5599,5.5927,-16.6256,0.3777,,,,,,80.9444,17.9913,67.2735,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",94.295,94.965,93.965,94.63,4610.41,4611.08,4610.08,4610.745,1.3269,65.8754,0.9,0.905,0.84,0.85,0.435,0.395,0.495,0.475,140.5001,166.3713,107.8114,127.9141,67.6692,69.3487,62.4535,64.0301,,,,,,,-0.355,-26.7546,-0.335,-25.2473,0.33,24.5353,0.335,25.2354,68.9617,71.0699,52.1174,55.186,11.3804,8.906,18.513,12.799,31.7941,32.1584,26.1438,25.6297,-37.1675,-38.9115,-25.9736,-29.5563,9.119,6.8334,13.6351,6.7486,-2.2614,-2.0726,-4.8779,-6.0504,,,-16.6392,-15.4796,-0.0167,6.9354,5.3653,-0.6739,-1.291,,0.4413,,,,,,93.5024,29.5236,64.6859,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",95.62,96.275,95.32,95.96,4611.735,4612.39,4611.435,4612.075,1.33,64.9043,0.885,0.935,0.79,0.845,0.425,0.405,0.515,0.48,161.6497,166.7557,109.4692,121.8424,65.4344,69.6462,61.1219,63.4146,,,,,,,-0.355,-26.6917,-0.34,-25.5639,0.3,23.2108,0.315,23.6398,70.9332,69.7706,53.0988,57.2065,17.3268,8.8271,14.1094,10.2322,31.3887,30.486,24.934,30.3103,-39.5445,-39.2846,-28.1648,-26.8963,14.1268,6.121,10.9391,5.7367,-3.1999,-2.7062,-3.1704,-4.4955,,,-8.1102,8.3086,-0.1851,-10.3923,1.0772,0.5987,-7.2127,-17.8266,0.1885,,,,,,99.6035,29.5186,65.5647,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",97.015,97.62,96.6,97.3,4613.13,4613.735,4612.715,4613.415,1.3088,64.3877,0.83,0.86,0.85,0.83,0.51,0.41,0.49,0.495,132.2311,163.1591,114.602,125.5274,63.8462,66.7961,63.6704,63.2381,,,,,,,-0.325,-24.8329,-0.285,-21.7765,0.415,31.0861,0.32,24.381,71.6812,65.6868,53.8852,55.6763,15.3526,14.1186,10.1604,10.5569,35.2657,27.432,25.0644,27.8098,-36.4155,-38.2548,-28.8208,-27.8665,7.4603,9.7868,8.1548,4.6258,-7.8923,-4.3318,-2.0056,-5.931,,,6.428,12.4988,-0.0788,8.0903,-0.8924,-0.4961,-0.722,-24.1729,0.3923,,,,,,141.2929,27.7297,60.4993,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",98.275,98.925,97.93,98.6,4614.39,4615.04,4614.045,4614.715,1.3938,66.5949,0.93,1.01,0.86,0.915,0.43,0.445,0.48,0.47,160.7763,145.3431,109.9226,122.9113,68.1319,69.6552,63.3517,65.2406,,,,,,,-0.31,-22.2422,-0.325,-23.3184,0.345,25.4144,0.325,23.1729,67.6057,69.0481,52.8577,54.7178,13.3559,13.3014,12.1912,12.6374,30.5324,30.5376,24.3759,29.2422,-37.0733,-38.5105,-28.4818,-25.4756,8.5864,9.256,8.8856,6.5846,-4.7695,-4.0453,-3.3056,-6.0528,,,,-32.6099,-0.1323,-19.278,7.5969,0.6814,-9.5794,-18.1106,0.1774,,,,,,,35.3034,57.679,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",99.645,100.37,99.305,100.02,4615.76,4616.485,4615.42,4616.135,1.4156,67.5389,1.03,0.95,0.94,0.905,0.44,0.435,0.515,0.505,155.0338,153.3375,108.8944,115.1211,71.0345,68.9655,65.1646,64.991,,,,,,,-0.38,-26.8433,-0.375,-26.4901,0.34,23.5702,0.35,25.1346,66.8791,73.8254,52.7207,56.0406,16.9855,14.2,7.7559,14.0227,29.4095,30.3619,26.3515,27.7759,-37.4697,-43.4635,-26.3692,-28.2647,11.3532,10.4945,7.0455,7.1471,-5.6323,-3.7054,-0.7104,-6.8756,,,14.9048,24.2643,-0.2382,-6.3812,0.115,0.1596,4.4175,-14.0809,0.3609,,,,,,83.0383,30.4534,51.2596,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
1,"walk","left","soft",101.075,101.74,100.735,101.395,4617.19,4617.855,4616.85,4617.51,1.3094,65.2813,0.855,0.915,0.825,0.825,0.4,0.42,0.49,0.47,160.0309,171.5802,111.2433,129.944,65.5172,68.9266,63.0975,63.5838,,,,,,,-0.365,-27.8759,-0.32,-24.4391,0.34,26.0038,0.345,26.5896,72.9551,77.0843,55.3602,59.4345,13.6798,9.4737,10.2527,11.7425,30.4359,34.8601,26.5221,29.3399,-42.5193,-42.2242,-28.8381,-30.0946,7.1245,8.3115,7.8881,5.3938,-6.5553,-1.1622,-2.3646,-6.3487,,,15.3609,12.9723,0.0279,-9.7231,-3.6747,0.3653,5.7144,-13.9704,0.3975,,,,,,104.4869,34.1318,68.0414,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241122T111237_logfile.itlog","2024-11-22T18:12:37.035Z","In hand","Research",,,
