segment,gait,direction,surface,ts_hoof_on_LF,ts_hoof_on_RF,ts_hoof_on_LH,ts_hoof_on_RH,ts_raw_hoof_on_LF,ts_raw_hoof_on_RF,ts_raw_hoof_on_LH,ts_raw_hoof_on_RH,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,min_diff_stn,max_diff_stn,si_up_stn,hiphike_swing,hiphike_stance,romz_head,romz_wth,romz_sac,romz_stn,romz_ltc,romz_rtc,horse_name,horse_ueln,horse_chip,horse_age,horse_color,horse_sex,horse_breed,horse_discipline,horse_sire,measurement,date,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","soft",284.455,285.3,283.97,284.855,2475.61,2476.455,2475.125,2476.01,1.8494,70.6612,1.26,1.57,1.155,1.255,0.555,0.425,0.475,0.625,140.9492,177.2848,107.7925,103.191,69.6133,77.6267,69.2654,66.1397,,,,,,,,,-0.4,-21.6289,0.485,29.0855,0.445,23.4519,70.4974,68.6161,50.0279,55.2409,11.1418,8.7265,7.3589,7.4958,37.0945,36.347,25.6089,33.6167,-33.4029,-32.2691,-24.419,-21.6242,6.0506,11.4549,7.0061,1.2184,-5.0913,2.7284,-0.3528,-6.2774,,,24.4554,39.3328,,-12.5877,3.8018,0.4377,27.6536,-0.2261,0.4605,,,,,,90.7112,26.3462,61.1878,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",286.26,287.35,285.675,286.77,2477.415,2478.505,2476.83,2477.925,1.9806,71.8392,1.495,1.435,1.475,1.285,0.545,0.48,0.55,0.66,140.1672,143.5255,98.4853,91.5199,74.0099,75.5263,72.8395,64.981,,,,,,,-0.375,-18.9334,-0.51,-25.7494,0.585,28.8889,0.58,29.33,57.7044,69.3238,48.3272,52.9783,19.0165,20.0172,7.4002,18.8204,31.9866,36.2705,21.7154,33.1076,-25.7179,-33.0532,-26.6118,-19.8707,19.3801,19.7038,7.0756,8.6654,0.3636,-0.3133,-0.3246,-10.155,,,7.1182,-4.3211,,15.3174,2.4283,-0.7011,9.9351,-2.582,0.319,,,,,,73.9707,25.3289,44.2716,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",288.26,289.235,287.7,288.78,2479.415,2480.39,2478.855,2479.935,1.8294,69.2437,1.29,1.295,1.36,1.12,0.505,0.45,0.55,0.725,128.5568,159.5894,85.2338,83.3367,69.6356,74.212,71.6733,61.454,,,,,,,-0.35,-19.1322,-0.52,-28.425,0.56,29.5125,0.455,24.9657,54.4168,71.9189,46.7686,50.3511,25.1242,22.9289,15.6369,24.0043,29.858,34.2591,21.047,33.0818,-24.5588,-37.6598,-25.7216,-17.2693,20.0013,22.4329,12.4908,12.7446,-5.1229,-0.496,-3.1462,-11.2597,,,44.6025,24.8083,,11.3646,6.7847,-0.6575,13.9623,0.8626,0.3232,,,,,,103.9066,22.9954,48.7326,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",290.17,290.98,289.585,290.58,2481.325,2482.135,2480.74,2481.735,1.6438,66.4925,1.02,1.135,1.225,0.995,0.62,0.45,0.525,0.68,101.5774,167.4778,89.3553,89.0082,63.2558,71.0485,70.8092,60.8563,,,,,,,-0.35,-21.2928,-0.41,-24.943,0.585,33.815,0.4,24.4648,56.4644,62.5883,47.6648,48.516,25.3224,19.0095,17.8298,22.3605,28.0678,29.9342,22.9383,28.4829,-28.3967,-32.6541,-24.7265,-20.0332,20.4024,17.613,14.6098,9.9257,-4.92,-1.3965,-3.22,-12.4349,,,-62.8647,-20.0627,,-6.8774,4.3156,0.2774,16.2909,-7.3148,0.4843,,,,,,148.4695,19.5073,56.3882,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",291.755,292.59,291.295,292.175,2482.91,2483.745,2482.45,2483.33,1.5625,66.6784,1.015,1.09,1.13,0.935,0.565,0.475,0.485,0.6,130.9075,141.8239,105.6427,95.6739,64.139,70.6645,70.2955,61.6145,,,,,,,-0.315,-20.16,-0.42,-26.88,0.46,28.6159,0.415,27.3476,63.4951,71.804,48.5816,53.1608,21.7784,20.1912,12.738,16.3349,31.3437,34.5927,23.469,34.2965,-32.1514,-37.2113,-25.1126,-18.8643,17.6758,19.3103,13.4586,6.4955,-4.1026,-0.8809,0.7206,-9.8395,,,42.1645,48.9748,-0.0796,9.4011,2.7188,-0.824,25.1052,-10.5265,0.632,,,,,,138.1377,23.5131,56.3756,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",293.34,294.11,292.895,293.675,2484.495,2485.265,2484.05,2484.83,1.5744,67.8109,1.045,1.14,1.035,1.05,0.57,0.43,0.47,0.565,135.7615,167.0854,121.2668,101.673,66.4547,71.9243,67.6471,65.2174,,,,,,,-0.305,-19.3728,-0.335,-21.2783,0.445,29.085,0.435,27.0186,60.9224,69.5076,48.8693,53.4019,21.8753,15.2835,15.1213,19.9348,33.527,34.6674,27.0303,33.6542,-27.3953,-34.8402,-21.839,-19.7477,15.6113,12.1671,13.7578,8.9037,-6.264,-3.1163,-1.3634,-11.0311,,,33.4265,61.4346,-0.3837,5.8171,-4.7533,-0.3565,15.388,3.8107,0.2409,,,,,,120.7241,18.5162,55.7184,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",294.87,295.71,294.45,295.28,2486.025,2486.865,2485.605,2486.435,1.5988,68.4204,1.12,1.13,1.1,1.025,0.485,0.46,0.52,0.555,141.9878,159.0732,106.565,105.6888,70.3297,70.8464,68.6427,63.8629,,,,,,,-0.34,-21.2666,-0.41,-25.645,0.42,26.209,0.43,26.7913,58.7408,72.8867,50.0047,53.2014,15.3056,12.1711,8.9682,15.461,28.2283,34.3639,24.7243,31.1891,-30.5125,-38.5228,-25.2804,-22.0123,10.702,9.3015,10.199,6.7112,-4.6036,-2.8696,1.2307,-8.7498,,,53.4752,66.1822,-0.1533,1.4001,2.465,,9.6634,-9.119,0.3845,,,,,,153.594,18.0325,55.0571,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",296.45,297.31,296.035,296.91,2487.605,2488.465,2487.19,2488.065,1.4944,66.4352,1.03,1.01,1.08,0.855,0.46,0.47,0.485,0.605,135.8648,172.1865,105.4783,97.9461,68.4385,68.8245,70.0162,58.4615,,,,,,,-0.325,-21.7482,-0.46,-30.7821,0.415,26.9044,0.4,27.3504,68.3241,73.0266,52.4284,57.1823,10.3774,14.6089,6.2181,13.226,28.4151,33.212,26.0802,34.9625,-39.909,-39.8146,-26.3483,-22.2198,9.4614,13.0419,6.3676,3.9908,-0.916,-1.567,0.1495,-9.2352,,,91.6518,85.9671,,-8.419,0.0606,,15.886,-11.8838,0.5044,,,,,,218.9073,21.3843,58.9475,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",297.97,298.765,297.555,298.375,2489.125,2489.92,2488.71,2489.53,1.4894,65.5522,0.98,0.98,1.035,0.91,0.49,0.445,0.44,0.61,152.0702,178.2882,127.2115,101.5257,65.6616,66.8942,68.8852,60.7679,,,,,,,-0.245,-16.4499,-0.405,-27.1926,0.415,27.6206,0.39,26.0434,67.5785,70.7478,53.4294,60.143,18.6064,14.3956,11.6823,15.3581,32.285,33.1757,27.8766,37.4779,-35.2935,-37.5721,-25.5528,-22.6651,12.5136,12.7197,10.1208,5.8735,-6.0928,-1.6758,-1.5615,-9.4846,,,,,,4.5371,1.8499,0.0048,10.7282,7.0746,0.073,,,,,,216.0816,24.0415,61.3846,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
1,"walk","left","soft",299.485,300.27,299.085,299.85,2490.64,2491.425,2490.24,2491.005,1.4487,64.4694,0.945,0.945,0.97,0.875,0.535,0.525,0.495,0.565,137.9931,155.6521,122.9251,116.9374,64.6154,66.5493,66.7814,59.9315,,,,,,,-0.32,-22.088,-0.365,-25.1941,0.4,27.5387,0.42,28.7671,69.2493,59.7019,56.1564,56.2136,17.7681,10.9931,10.8786,16.7344,36.1124,33.297,28.0102,32.1266,-33.1369,-26.4049,-28.1462,-24.087,10.9049,9.7477,9.6956,7.1135,-6.8632,-1.2454,-1.183,-9.6209,,,-45.8324,-53.6765,,0.6661,-6.5646,,6.7933,-4.0801,0.1771,,,,,,247.4052,20.1138,69.0388,,,,"Jackson","","N/A",,"Bay","Gelding","Thoroughbred","Dressage","","20241130T114129_logfile.itlog","2024-11-30T18:41:29.137Z","In hand","Research",,,
