segment,gait,direction,surface,ts_hoof_on_LF,ts_hoof_on_RF,ts_hoof_on_LH,ts_hoof_on_RH,ts_raw_hoof_on_LF,ts_raw_hoof_on_RF,ts_raw_hoof_on_LH,ts_raw_hoof_on_RH,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,min_diff_stn,max_diff_stn,si_up_stn,hiphike_swing,hiphike_stance,romz_head,romz_wth,romz_sac,romz_stn,romz_ltc,romz_rtc,horse_name,horse_ueln,horse_chip,horse_age,horse_color,horse_sex,horse_breed,horse_discipline,horse_sire,measurement,date,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","soft",63.175,64,62.74,63.53,3587.25,3588.075,3586.815,3587.605,1.6663,65.0825,1.235,1.19,0.85,1.08,0.485,0.56,0.63,0.58,105.0099,127.3917,68.8248,101.7097,71.3873,69.5906,54.4872,64.8649,,,,,,,,,-0.355,-21.3053,0.435,27.8846,0.47,28.2282,58.886,69.783,51.9232,59.6166,11.2961,11.4537,20.872,14.372,24.2117,35.0882,28.5921,41.3203,-34.6742,-34.6947,-23.3311,-18.2962,11.5336,12.4601,16.5701,7.2285,0.2375,1.0064,-4.3019,-7.1436,0.8267,1.2896,-2.2878,-11.8823,,13.7257,-2.1709,,16.8526,-8.5153,0.4531,,,,,,92.2814,27.1675,57.6429,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",64.915,65.67,64.38,65.2,3588.99,3589.745,3588.455,3589.275,1.5694,62.5478,1.035,0.995,0.935,0.95,0.505,0.48,0.79,0.59,91.1803,154.1213,38.4307,101.2994,67.2078,66.3333,55.6548,60.9952,,,,,,,-0.38,-24.2135,-0.285,-18.1601,0.535,31.8452,0.47,30.1766,63.7812,70.1063,52.5397,51.6641,19.7234,20.1566,21.221,26.8865,29.8919,34.5358,29.1414,27.1414,-33.8893,-35.5705,-23.3983,-24.5227,17.6959,14.8861,14.754,13.7231,-2.0275,-5.2704,-6.467,-13.1634,0.8267,1.3888,-23.4724,-5.4026,-0.3733,-14.8259,17.0936,-0.3434,15.9964,-0.2117,0.318,,,,,,90.0187,27.0148,67.9002,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",66.455,67.195,66.015,66.775,3590.53,3591.27,3590.09,3590.85,1.4762,61.6232,0.935,1,0.865,0.835,0.505,0.53,0.7,0.625,90.516,150.1636,45.0865,93.0299,65.0435,68.0272,56.9079,56.5144,,,,,,,-0.345,-23.37,-0.32,-21.6765,0.44,28.9474,0.42,28.4264,58.401,69.0445,47.3212,49.9072,29.5224,15.9839,24.4295,30.2369,30.9245,35.4979,22.2171,27.4048,-27.4765,-33.5466,-25.1041,-22.5024,27.0018,11.6162,14.613,15.4865,-2.5205,-4.3677,-9.8165,-14.7505,0.7,1.064,15.4526,-14.7545,0.4364,10.5297,-1.9718,-0.5612,20.9586,3.6058,0.3029,,,,,,82.469,22.6711,67.9109,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",67.89,68.605,67.49,68.27,3591.965,3592.68,3591.565,3592.345,1.4731,62.966,0.96,1,0.935,0.815,0.5,0.41,0.61,0.66,91.3655,177.2351,50.4842,89.6884,66.3212,67.6819,62.2296,55.6314,,,,,,,-0.295,-20.0255,-0.38,-25.7955,0.4,26.6223,0.335,22.8669,60.8825,60.9207,47.8763,48.7409,23.2431,35.3232,27.6415,30.2027,31.9144,28.3862,26.3208,27.5864,-28.9681,-32.5345,-21.5556,-21.1545,24.2114,26.6412,17.0599,13.1024,0.9683,-8.682,-10.5816,-17.1003,0.6567,0.9866,19.4353,-28.7147,0.5121,7.0624,3.7225,-0.7813,11.4207,-0.8393,0.2289,,,,,,94.0258,24.5976,53.5607,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",69.325,70.15,68.95,69.725,3593.4,3594.225,3593.025,3593.8,1.5138,63.8081,1.045,1.03,0.91,0.88,0.475,0.545,0.525,0.64,87.9772,147.8449,67.1924,88.5159,68.4124,67.2104,61.9048,57.7049,,,,,,,-0.345,-22.7911,-0.4,-26.4244,0.375,25.5102,0.425,27.8689,59.4689,70.4862,42.9922,44.2417,29.3144,17.5364,27.0213,30.3343,31.7148,33.5427,22.9636,24.0368,-27.7542,-36.9436,-20.0287,-20.2049,27.2812,15.078,17.0267,14.7859,-2.0332,-2.4583,-9.9946,-15.5484,0.75,1.1025,-27.0193,-6.1195,-0.3508,9.0187,6.2676,-0.5934,7.9802,-4.061,0.2483,,,,,,82.0081,25.2203,48.4958,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",70.86,71.64,70.455,71.255,3594.935,3595.715,3594.53,3595.33,1.5831,64.9955,1.085,1.15,0.96,0.925,0.49,0.46,0.595,0.65,81.6172,164.1445,56.1056,81.9193,68.1319,71.0974,61.8357,58.9172,,,,,,,-0.305,-19.2657,-0.395,-24.9507,0.405,26.087,0.385,24.5223,61.6307,73.0546,44.0424,49.2184,21.6413,12.5677,27.2214,32.5669,32.8385,31.4771,24.7493,29.9889,-28.7923,-41.5775,-19.2931,-19.2294,20.0342,9.5091,17.8052,14.7673,-1.6071,-3.0586,-9.4162,-17.7996,0.7133,1.1075,-16.3792,-19.9076,0.0502,7.6949,2.8986,-0.4243,2.8533,-6.2816,0.2089,,,,,,86.6891,23.0312,47.9674,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",72.47,73.265,72.005,72.82,3596.545,3597.34,3596.08,3596.895,1.6163,64.3088,1.1,1.16,0.925,0.975,0.525,0.475,0.59,0.64,82.3405,168.6707,53.3427,98.5339,67.4847,71.275,59.2949,59.1806,,,,,,,-0.365,-22.5831,-0.35,-21.6551,0.465,29.8077,0.445,27.0106,65.6752,69.6276,48.8729,54.7877,18.7493,12.2127,24.0547,25.9518,30.327,31.0073,27.3578,32.9635,-35.3482,-38.6203,-21.515,-21.8242,17.8184,8.5998,15.1077,13.3565,-0.9309,-3.6129,-8.947,-12.5953,0.58,0.9048,12.4109,-32.3603,0.5711,14.0526,-1.4842,-0.5891,7.9345,-6.1721,0.2941,,,,,,78.3946,,54.0142,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",74.105,74.885,73.61,74.5,3598.18,3598.96,3597.685,3598.575,1.5806,63.2952,1.075,1.04,1,0.885,0.535,0.46,0.68,0.705,95.5256,167.1372,51.5065,88.7511,67.5039,67.9739,60.6061,57.0968,,,,,,,-0.345,-21.8268,-0.395,-24.9901,0.495,30,0.385,24.8387,66.3325,64.9424,59.9062,59.4392,13.4612,11.1027,9.0549,21.1396,30.4382,27.4997,33.5958,35.9785,-35.8944,-37.4427,-26.3104,-23.4607,11.6976,9.5277,11.563,10.2932,-1.7636,-1.5749,2.5081,-10.8464,0.6975,1.1509,-14.1259,10.0286,-0.3655,-1.2839,0.1622,0.0169,9.8586,0.535,0.1827,,,,,,69.2309,22.1896,65.0355,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",75.68,76.445,75.23,76.01,3599.755,3600.52,3599.305,3600.085,1.5537,63.3231,1.075,1.02,0.9,0.94,0.5,0.52,0.62,0.625,96.2911,146.7181,68.9805,101.9178,68.6901,66.6667,58.1583,59.7774,,,,,,,-0.345,-22.2043,-0.33,-21.2389,0.45,29.0792,0.435,27.663,61.6353,67.5212,54.4511,53.5489,9.5726,11.9124,16.9572,18.1661,26.0027,29.7006,30.2968,28.5748,-35.6325,-37.8206,-24.1542,-24.9741,11.0269,8.3115,11.1641,8.417,1.4543,-3.6009,-5.7931,-9.7491,0.8567,1.3257,-8.0067,-3.5996,-0.0677,5.8388,-3.1325,-0.1708,13.9918,-8.0603,0.3391,,,,,,68.7149,21.3825,65.0343,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
1,"walk","left","soft",77.235,77.965,76.805,77.59,3601.31,3602.04,3600.88,3601.665,1.4875,62.2121,0.985,0.97,0.91,0.835,0.48,0.5,0.675,0.64,89.0719,156.6392,58.594,89.1399,67.121,65.5405,58.9951,57.1918,,,,,,,-0.36,-24.2017,-0.355,-23.8655,0.43,27.8768,0.375,25.6849,65.1789,71.7902,53.7867,54.1694,12.4859,10.7642,17.2245,17.2692,29.6471,35.3124,26.9425,29.1093,-35.5318,-36.4778,-26.8442,-25.0601,11.4384,7.1667,8.6923,9.1767,-1.0475,-3.5975,-8.5322,-8.0925,0.5533,0.8535,22.9696,-16.122,0.599,8.4294,-0.5544,-0.4785,12.5127,-7.9488,0.3525,,,,,,70.3039,20.9874,58.0458,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20241020T110211_logfile.itlog","2024-10-20T18:02:11.443Z","In hand","Research",,,
