segment,gait,direction,surface,ts_hoof_on_LF,ts_hoof_on_RF,ts_hoof_on_LH,ts_hoof_on_RH,ts_raw_hoof_on_LF,ts_raw_hoof_on_RF,ts_raw_hoof_on_LH,ts_raw_hoof_on_RH,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,min_diff_stn,max_diff_stn,si_up_stn,hiphike_swing,hiphike_stance,romz_head,romz_wth,romz_sac,romz_stn,romz_ltc,romz_rtc,horse_name,horse_ueln,horse_chip,horse_age,horse_color,horse_sex,horse_breed,horse_discipline,horse_sire,measurement,date,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","straight","soft",41.94,42.615,41.555,42.21,476.665,477.34,476.28,476.935,1.3262,62.0254,0.875,0.87,0.775,0.77,0.435,0.465,0.56,0.55,193.5633,168.9602,98.3269,99.5712,66.4137,65.4135,58.2707,58.0038,,,,,,,,,-0.27,-20.3582,0.385,28.9474,0.405,30.5085,72.7206,65.9554,56.997,55.205,5.6697,7.5773,13.5827,8.457,32.3766,30.3924,28.0179,26.9434,-40.3441,-35.563,-28.9791,-28.2616,2.9762,6.8608,8.5171,7.1852,-2.6935,-0.7164,-5.0655,-1.2718,0.885,1.1771,8.9134,60.7261,-0.5542,-0.8422,-3.1558,,-8.8517,-3.3793,-0.0881,,,,,,102.4041,11.9573,67.4071,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
1,"walk","straight","soft",43.265,43.94,42.88,43.545,477.99,478.665,477.605,478.27,1.3513,62.4534,0.89,0.87,0.795,0.82,0.45,0.455,0.55,0.565,183.5584,161.1293,101.0342,96.7271,65.9259,64.9254,58.8889,60.0733,,,,,,,-0.265,-19.6115,-0.28,-20.7216,0.385,28.5185,0.395,28.9377,73.3374,68.4765,56.4098,55.9208,12.3054,3.3955,11.684,8.5061,33.6045,31.3448,27.842,28.3092,-39.7329,-37.1317,-28.5678,-27.6116,6.3377,2.7486,6.5788,6.9563,-5.9677,-0.6468,-5.1051,-1.5498,0.885,1.1947,-20.5107,37.6656,-0.6657,3.8564,0.1993,-0.495,-8.4514,-0.722,-0.1135,,,,,,113.3053,14.4107,68.9809,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
1,"walk","straight","soft",44.625,45.295,44.235,44.89,479.35,480.02,478.96,479.615,1.3275,61.3923,0.86,0.845,0.775,0.78,0.47,0.485,0.56,0.525,179.6562,163.2277,97.1578,106.8726,64.4195,63.8941,58.0524,59.203,,,,,,,-0.295,-22.2222,-0.265,-19.9623,0.39,29.2135,0.405,30.74,70.5564,71.5022,58.478,54.5795,11.057,4.7893,8.9855,11.8862,29.7658,32.1704,27.8465,25.7109,-40.7906,-39.3317,-30.6315,-28.8685,6.0893,3.8262,4.5357,6.5567,-4.9676,-0.9631,-4.4498,-5.3294,0.9967,1.3306,-41.6833,38.1584,-0.7048,5.8555,-0.3739,-0.2919,-20.8858,4.1182,-0.3278,,,,,,113.2826,17.4044,79.5927,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
1,"walk","straight","soft",45.965,46.61,45.57,46.22,480.69,481.335,480.295,480.945,1.3075,61.6703,0.825,0.855,0.78,0.765,0.48,0.47,0.56,0.55,175.4532,173.2019,98.0399,104.2747,63.4615,65.392,59.542,58.2857,,,,,,,-0.275,-21.0325,-0.255,-19.5029,0.395,30.1527,0.39,29.7143,77.1775,68.1558,60.7131,55.4,8.8306,5.0731,10.8672,8.576,34.6486,31.2182,31.0391,25.4917,-42.5289,-36.9376,-29.674,-29.9084,5.2852,5.8074,7.9896,5.5422,-3.5454,0.7344,-2.8776,-3.0338,0.9567,1.2532,-9.8551,37.0974,-0.4922,8.5029,9.0836,,-16.0558,-9.4568,-0.0982,,,,,,100.1487,17.6244,78.7671,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
2,"walk","left","hard",52.975,53.665,52.615,53.215,487.7,488.39,487.34,487.94,1.3131,63.0219,0.915,0.895,0.745,0.76,0.4,0.515,0.54,0.505,196.363,151.5538,101.9437,117.0065,68.797,66.0517,57.8641,59.375,,,,,,,,,-0.24,-18.277,0.36,27.9612,0.45,35.1562,72.4219,60.2585,58.1638,56.7016,16.8183,16.0817,17.426,18.1115,29.3632,31.3614,32.0381,26.0874,-43.0587,-28.8971,-26.1257,-30.6142,7.4467,11.9096,11.6117,9.9191,-9.3716,-4.1721,-5.8144,-8.1924,1.245,1.6029,31.888,-40.5157,,9.6289,-13.8154,-0.0771,13.6949,-7.7507,0.295,,,,,,126.5533,34.7585,77.2707,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
2,"walk","left","hard",54.32,54.965,53.905,54.51,489.045,489.69,488.63,489.235,1.2306,61.7137,0.85,0.78,0.755,0.655,0.43,0.405,0.545,0.535,196.7373,155.8917,96.1513,117.7879,66.7976,65.272,60.7646,54.0206,,,,,,,-0.24,-19.5023,-0.19,-15.4393,0.415,33.4004,0.455,37.5258,61.1987,64.1982,52.8681,56.482,15.0387,8.6238,8.9769,16.3348,24.6538,29.043,27.1248,28.0714,-36.5449,-35.1552,-25.7433,-28.4105,4.6933,5.8975,7.2482,8.0678,-10.3454,-2.7264,-1.7287,-8.267,1.245,1.5469,-33.7281,-20.0376,-0.1122,0.7905,0.3042,,32.1869,,0.6905,,,,,,142.0526,34.7377,77.2838,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
2,"walk","left","hard",55.585,56.17,55.09,55.745,490.31,490.895,489.815,490.47,1.2125,62.1803,0.82,0.735,0.76,0.695,0.415,0.425,0.43,0.58,175.805,172.738,110.2247,106.888,68.476,63.2258,62.2951,54.7244,,,,,,,-0.125,-10.3093,-0.16,-13.1959,0.495,40.5738,0.425,33.4646,68.9452,65.3478,58.863,58.755,25.5524,15.8507,7.0536,8.2346,31.9991,31.0219,29.6089,29.0915,-36.9461,-34.3259,-29.2541,-29.6634,14.5697,9.8343,7.4191,5.8222,-10.9826,-6.0164,0.3655,-2.4124,1.32,1.6104,60.3716,41.787,0.2312,-2.3862,-4.5637,-0.0394,-3.7105,,-0.3786,,,,,,122.1614,35.1518,73.3057,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
2,"walk","left","hard",56.745,57.335,56.34,57.01,491.47,492.06,491.065,491.735,1.2019,60.9099,0.815,0.76,0.74,0.615,0.34,0.43,0.49,0.57,222.8192,167.2085,121.4691,103.6434,68.7764,62.0408,59.919,52.9032,,,,,,,-0.17,-14.1446,-0.265,-22.0489,0.405,32.7935,0.325,27.957,70.8856,65.8776,65.1743,55.1455,21.4789,14.3322,7.3613,15.6138,32.4452,28.1399,33.3102,24.8477,-38.4404,-37.7377,-31.8641,-30.2978,9.427,8.7507,3.7263,10.6224,-12.0519,-5.5815,-3.635,-4.9913,1.07,1.3214,20.1188,42.549,-0.2849,5.1751,11.2746,-0.4429,-30.8676,-3.6826,-0.3113,,,,,,105.9068,32.1011,,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
2,"walk","left","hard",57.96,58.595,57.58,58.15,492.685,493.32,492.305,492.875,1.2094,60.2872,0.815,0.72,0.695,0.685,0.4,0.5,0.5,0.525,206.938,154.5203,140.4981,109.2054,67.9167,59.1376,58.4034,55.6911,,,,,,,-0.245,-20.2584,-0.19,-15.7106,0.38,31.9328,0.445,36.1789,67.9758,62.203,64.2361,57.4647,20.453,14.747,14.8808,21.5917,28.7531,29.5919,32.605,25.116,-39.2227,-32.6111,-31.6311,-32.3487,8.7483,10.3714,8.153,11.9341,-11.7046,-4.3757,-6.7277,-9.6577,1.07,1.2733,105.0388,8.8817,0.7112,-13.5693,-14.7776,,-29.8031,4.0597,-0.3958,,,,,,144.0892,52.7446,85.5565,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
2,"walk","left","hard",59.145,59.81,58.765,59.4,493.87,494.535,493.49,494.125,1.2487,61.1808,0.84,0.81,0.735,0.67,0.37,0.495,0.49,0.565,208.7405,142.6776,129.8895,110.348,68.5714,63.1579,59.3939,53.6,,,,,,,-0.17,-13.6136,-0.255,-20.4204,0.38,30.7071,0.41,32.8,65.1316,64.4891,62.5227,55.1486,22.4807,11.6804,18.0888,29.5251,28.19,31.1525,34.1501,27.5795,-36.9415,-33.3366,-28.3726,-27.5691,11.9991,6.2729,10.5016,16.5505,-10.4816,-5.4075,-7.5873,-12.9747,0.83,1.0271,9.6007,-58.8045,,3.8995,-14.7429,0.537,8.8108,5.2046,0.0505,,,,,,142.6284,43.0757,77.7665,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250509T112305_logfile.itlog","2025-05-09T18:23:05.436Z","In hand","Research",,,"missing data: Withers"
